"Category","Tag","Rank","Page","Wall_ID","Fans","PTA"
"brands","travel","143","airtickets.gr","132365670114823","143136","1694"
"brands","travel","144","Marriott International","143602039041041","142845","2130"
"brands","travel","145","Hard Rock Hotel Penang","145551570265","142778","3329"
"brands","travel","146","Noriu atostogu!","86268988829","142206","2466"
"brands","travel","147","Paris Las Vegas Hotel &amp; Casino","203320451997","141138","5132"
"brands","travel","148","Tuscany","100397603334359","141023","24194"
"brands","travel","149","Tanie Loty","218879937278","139805","8693"
"brands","travel","150","Hotel Transamérica SP","202484863142265","138823","5563"
"brands","travel","151","Whistler Blackcomb","11092928401","138413","6849"
"brands","travel","152","Starwood Hotels Travel Exclusives","204386089604818","135291","9344"
"brands","travel","153","Suomi","307974590580","133838","1879"
"brands","travel","154","Venetian Macao 澳門威尼斯人","368324848137","133089","3684"
"brands","travel","155","Ovolo Hotels and Serviced…","123934470973808","133038","4242"
"brands","travel","156","Xel-Ha","85856352145","131581","19235"
"brands","travel","157","Intrepid Travel","256399545643","131298","5491"
"brands","travel","158","Travel Oregon","45099769719","130579","8383"
"brands","travel","159","Secret Escapes","168596886491903","130574","14031"
"brands","travel","160","Jeg elsker ferie!","129662938210","130393","926"
"brands","travel","161","Tatil.com","129844753698093","130108","36362"
"brands","travel","162","Agencia Abreu","347232720434","127896","6346"
"brands","travel","163","Tune Hotels.com","107468562624798","126891","2121"
"brands","travel","164","taca.com","306903869350","125878","2817"
"brands","travel","165","就愛去旅行粉絲團","364389200456","125605","6315"
"brands","travel","166","Cruz del Sur y sus nuevas tarifas!…","10150096145805578","125140","2955"
"brands","travel","167","Travelzoo UK","141835936104","124385","1242"
"brands","travel","168","Visitportugal","122325156660","123607","9058"
"brands","travel","169","Finnmatkat","7752531838","122666","1552"
"brands","travel","170","Love Cyprus","50605278326","122023","1102"
"brands","travel","171","MeetHK.com 旅遊情報網","190761844297992","121528","34526"
"brands","travel","172","Cox and Kings India","124931554187204","120760","15583"
"brands","travel","173","Hotel Jaisalgarh","106135625912","120295","210"
"brands","travel","174","Salinas do Maragogi","117508016866","118610","12783"
"brands","travel","175","ME by Melia","8264228067","118382","591"
"brands","travel","176","Skyscanner Indonesia","212928302114353","118262","2209"
"brands","travel","177","Fritidsresor","279106205105","117829","5095"
"brands","travel","178","AirAsia Australia","142065425827881","117224","1533"
"brands","travel","179","OLTURSA","53724708836","116972","5978"
"brands","travel","180","Les Îles de Guadeloupe - CTIG","122161421157336","116429","10749"
"brands","travel","181","Expedia.com.my","186286818094994","115406","522"
"brands","travel","182","GRAN MELIÁ Hotels &amp; Resorts","273583169065","115224","995"
"brands","travel","183","Tirol – Herz der Alpen","9495048743","115030","4093"
"brands","travel","184","HRS","39815567758","113955","11476"
"brands","travel","185","Exim Tours Polska","322451536431","113316","728"
"brands","travel","186","Megève","24274852196","112742","636"
"brands","travel","187","netviagens","43423769901","112527","6317"
"brands","travel","188","日本旅行","122505064462318","111754","2099"
"brands","travel","189","eDreams España","162120514554","110989","1670"
"brands","travel","190","Route des Vins d'Alsace","181155705309557","110352","19498"
"brands","travel","191","Skyscanner Brasil","240419866004117","106421","8555"
"brands","travel","192","TravelBird","510284232316040","106166","6965"
"brands","travel","193","Graubünden","53278099331","105893","3706"
"brands","travel","194","Korea Tourism Organization","340785907491","105561","4339"
"brands","travel","195","Groupon Philippines","151158791578687","104846","351"
"brands","travel","196","alpharooms.com","80909287033","104288","2926"
"brands","travel","197","Sandals Resorts","68192000474","103315","23160"
"brands","travel","198","Go VisitDenmark","404911649487","102982","4354"
"brands","travel","199","ibis","267444173285598","102428","1411"
"brands","travel","200","See Puerto Rico","135006496544064","101977","1447"
"brands","travel","201","Visit Miami","115189316103","101393","2584"
"brands","travel","202","Les Voyages FRAM","124785073214","101150","3601"
"brands","travel","203","Да Рекламираме България! Bulgaria…","369995921640","101029","9643"
"brands","travel","204","WorldCard Malaysia","132849171520","100644","1619"
"brands","travel","205","GV Hotels Philippines","198023866937824","100050","356"
"brands","travel","206","JOLLY TUR","165333778561","99439","4400"
"brands","travel","207","Wotif.com","87734779537","99132","572"
"brands","travel","208","Skyscanner","9213701292","98745","3061"
"brands","travel","209","Cheaptrip","24203979395","98510","41812"
"brands","travel","210","Dein Bayern","12359083356","98365","11072"
"brands","travel","211","Paesaggi d'Abruzzo","191685137538294","97583","21152"
"brands","travel","212","Neckermann Belgium","113797608646681","96471","6425"
"brands","travel","213","호텔스닷컴 (Hotels.com Korea)","183908254983923","95994","8817"
"brands","travel","214","AFBUDSREJSER","127936343886979","95811","955"
"brands","travel","215","Student Flights Australia","153335754885","95405","2267"
"brands","travel","216","Sneeuwhoogte.nl","135173426554791","94378","141"
"brands","travel","217","Hotéis Vila Galé","86975995842","93997","1434"
"brands","travel","218","SuperOdmor","139965412706670","93714","10408"
"brands","travel","219","Nova Scotia","70825743518","93415","7132"
"brands","travel","220","Cheap Holidays","137428372437","93387","186"
"brands","travel","221","Wynn Las Vegas","167204015611","93311","4740"
"brands","travel","222","Viva Services","132677840080796","93292","959"
"brands","travel","223","UAE Exchange Travel","286928288001292","92351","3504"
"brands","travel","224","Apollo Sverige","97925109028","92069","9167"
"brands","travel","225","Kite Worldwide","235525150719","90988","1694"
"brands","travel","226","Curacao","76987199907","90754","8428"
"brands","travel","227","Tangalooma Island Resort","224937599147","90076","3957"
"brands","travel","228","STA Travel Australia","23910114576","89870","5235"
"brands","travel","229","Apollo Danmark","97908118399","89725","2628"
"brands","travel","230","The LaLiT Hotels, Palaces &amp; Resorts","230588373654","89684","1523"
"brands","travel","231","Club18-30","18800210081","88981","2646"
"brands","travel","232","Bavul.com","231039716916303","88915","3766"
"brands","travel","233","Tahiti Tourisme France","129455436752","88231","8467"
"brands","travel","234","TUI","168382199841876","88197","3824"
"brands","travel","235","Pamukkale Turizm","48365722230","87747","4193"
"brands","travel","236","Vaya Mzansi","332267696827767","87017","2995"
"brands","travel","237","Abritel location vacances","112979415386505","85383","9864"
"brands","travel","238","Mitfahrzentrale mitfahrgelegenheit…","10258013579","84904","1305"
"brands","travel","239","eSKY.pl - Internetowe Centrum…","345394586699","84665","6545"
"brands","travel","240","WALLONIA - BRUSSELS TOURISM -…","304452632298","84236","1201"
"brands","travel","241","Paradores","110255829000664","83725","2194"
"brands","travel","242","Expedia.it","272917579405724","82041","11609"
"brands","travel","243","Salinas de Maceió","130658204864","81444","12531"
"brands","travel","244","Croisières de France","128860860477494","80506","49"
"brands","travel","245","Travelplanet.pl","126593321487","80436","896"
"brands","travel","246","Voyages-sncf.com","132906510104468","80302","2609"
"brands","travel","247","Skyscanner Italia","120900441266750","80292","2833"
